speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	2	15657.266749707676	 8820.24897020643	25672.863045141545	34344.35209825998	308.08331382243705	18687.085348552304	0.0	101570474.68115623	10078.21783259105
10000	4	27617.117630021312	 17226.173775846695	49435.627255985266	97329.7519941987	665.7196113345866	69712.63436417739	0.0	423722639.6408887	20584.524275311505
10000	8	63411.41996097334	 35301.87724489238	-1	374386.9679218968	1543.158204562178	310975.54796092346	0.0	1759674347.4178603	41948.47252782704
10000	16	118152.85503169942	 69660.16881258055	202822.40725349452	506004.62959472195	2592.6023623948463	387851.77456302254	0.0	6895066709.417796	83036.53839977794
10000	32	266553.1734903207	 379280.05086541857	401699.1485222596	581658.6262188515	5615.628296183174	315105.45272853086	0.0	26032300577.87118	161345.2837174709
10000	64	179067.3945558564	 164161.88136966637	163817.5030894805	718943.3036491463	9433.558897044935	539875.90909329	0.0	7686939479.691181	87675.19306902713
10000	128	241989.8450563774	 242763.24382328958	-1	359261.17072354665	18415.710697486953	117271.32566716924	0.0	9056650521.545303	95166.43589809016
10000	256	374225.69732096273	 463406.5005934194	-1	487842.71876419807	33135.57758953232	113617.02144323534	0.0	14456147844.501455	120233.72174436528
10000	512	426874.01107172377	 504355.7325326309	509637.17543755565	529834.0534772552	54247.53605688772	102960.04240553139	0.0	10801103349.49485	103928.3568112902
10000	1024	325100.0327546594	 338264.6416132918	377049.187604249	389221.9847300573	76724.9589531742	64121.95197539788	0.0	3346500050.866828	57848.94165727518
