speed_hz[hz]	send_bytes[byte]	average_2Delay[ms]	median_2Delay[ms]	mode_2Delay[ms]	max_2Delay[ms]	min_2Delay[ms]	fluctuation[ms]	error_rate	variance[ms^2]	standard deviation[ms]
10000	10000	7.531720662117005	 7.515907287597656	7.506132125854492	10.435342788696289	7.474660873413086	2.9036221265792843	0.0	0.006350715077518884	0.07969137392164151
11000	10000	6.827742981910705	 6.824493408203125	6.823062896728516	12.612581253051758	6.684780120849609	5.784838271141052	0.0	0.007433787185272536	0.08621941304180014
12000	10000	6.290643286705017	 6.282806396484375	6.283998489379883	9.806394577026367	6.138324737548828	3.51575129032135	0.0	0.007648443379247852	0.08745537936140836
13000	10000	5.817369532585144	 5.81812858581543	5.817174911499023	17.03190803527832	5.676507949829102	11.214538502693177	0.0	0.014940024388710636	0.12222939249096608
14000	10000	5.417015767097473	 5.42140007019043	5.420446395874023	13.010740280151367	5.278110504150391	7.593724513053894	0.0	0.010163977918932119	0.10081655577796793
14400	10000	5.339579343795776	 5.319118499755859	5.311012268066406	7.660388946533203	5.285978317260742	2.3208096027374268	0.0	0.00687116452348846	0.08289248773856688
15000	10000	5.080539751052856	 5.077123641967773	5.076408386230469	10.772705078125	4.939079284667969	5.692165327072144	0.0	0.005224807107695142	0.07228282719771786
16000	10000	4.782477855682373	 4.7817230224609375	4.781484603881836	5.513668060302734	4.638433456420898	0.7311902046203613	0.0	0.0009571358557423082	0.03093761231482333
17000	10000	4.522356867790222	 4.5166015625	4.5166015625	9.392023086547852	4.372835159301758	4.869666218757629	0.0	0.005963273056281082	0.07722223161940532
18000	10000	4.27686448097229	 4.2781829833984375	4.277229309082031	7.234096527099609	4.135847091674805	2.957232046127319	0.0	0.0034113374617822955	0.058406655971578236
19000	10000	4.071382212638855	 4.070520401000977	4.068613052368164	6.256103515625	3.926515579223633	2.184721302986145	0.0	0.0017678866267891635	0.04204624390821567
19200	10000	4.075110578536988	 4.060983657836914	4.057407379150391	6.253957748413086	4.024982452392578	2.1788471698760983	0.0	0.002960995527316754	0.05441503034380073
20000	10000	3.885036754608154	 3.8826465606689453	3.8831233978271484	6.551504135131836	3.7376880645751953	2.666467380523682	0.0	0.0029906474404106124	0.05468681230800176
21000	10000	3.7058492422103884	 3.7078857421875	3.7059783935546875	6.247043609619141	3.565549850463867	2.5411943674087523	0.0	0.0035877096968937395	0.05989749324382231
22000	10000	3.5516284227371218	 3.548145294189453	-1	4.161596298217773	3.4089088439941406	0.6099678754806517	0.0	0.000598309205401506	0.02446035987882243
23000	10000	3.3950651407241823	 3.4062862396240234	3.4055709838867188	3.7784576416015625	3.261089324951172	0.3833925008773802	0.0	0.0023491513908260233	0.0484680450485268
24000	10000	3.2750404834747315	 3.276348114013672	3.274679183959961	7.568597793579102	3.136157989501953	4.2935573101043705	0.0	0.007762151833665031	0.08810307505226496
25000	10000	3.149883508682251	 3.162384033203125	3.1626224517822266	6.029844284057617	3.017425537109375	2.879960775375366	0.0	0.003427059768853269	0.05854109470152799
26000	10000	3.033816909790039	 3.046274185180664	3.0472278594970703	3.314495086669922	2.901315689086914	0.2806781768798827	0.0	0.002263275717941724	0.04757389744325898
27000	10000	2.9314345121383667	 2.9442310333251953	2.9420852661132812	7.525920867919922	2.800464630126953	4.594486355781555	0.0003	0.005269010366859561	0.07258794918483068
28000	10000	2.855025625228882	 2.8519630432128906	2.8505325317382812	5.5294036865234375	2.708911895751953	2.6743780612945556	0.0006	0.007420169191552758	0.08614040394351978
28800	10000	2.8330841064453125	 2.8107166290283203	2.802133560180664	4.180669784545898	2.779245376586914	1.347585678100586	0.0013	0.006627125750583218	0.08140716031519106
29000	10000	2.7567514181137085	 2.7632713317871094	2.763032913208008	3.4673213958740234	2.617359161376953	0.7105699777603149	0.0009	0.0018949991862058368	0.043531588372190566
30000	10000	2.661668372154236	 2.6755332946777344	2.672910690307617	5.055665969848633	2.5353431701660156	2.393997597694397	0.0018	0.0038184685465870415	0.06179375815231698
31000	10000	2.5964426755905152	 2.6025772094726562	2.6040077209472656	5.563020706176758	2.457857131958008	2.9665780305862426	0.0007	0.004657729997119873	0.0682475640379924
32000	10000	2.5297563791275026	 2.5272369384765625	2.5234222412109375	5.647897720336914	2.385854721069336	3.1181413412094114	0.0016	0.006911201948623216	0.08313363909166503
33000	10000	2.4537444353103637	 2.4614334106445312	2.4611949920654297	5.569934844970703	2.313375473022461	3.1161904096603394	0.0012	0.00381626994396754	0.06177596574694353
34000	10000	2.3833302736282347	 2.3925304412841797	2.3920536041259766	5.001306533813477	2.2504329681396484	2.617976260185242	0.0025	0.003844181117250969	0.062001460605787095
35000	10000	2.3174029111862184	 2.3348331451416016	2.3343563079833984	4.889249801635742	2.194643020629883	2.5718468904495237	0.0026	0.00481830539346845	0.06941401438807908
36000	10000	2.2699129819869994	 2.277374267578125	2.275228500366211	3.859996795654297	2.134561538696289	1.5900838136672975	0.0031	0.0022405721514354585	0.047334682331620845
37000	10000	2.2047389268875124	 2.224445343017578	-1	8.706808090209961	2.0799636840820312	6.5020691633224486	0.0036	0.007874745999055794	0.08873976560176274
38000	10000	2.163681221008301	 2.1729469299316406	2.169370651245117	4.994630813598633	2.023935317993164	2.830949592590332	0.1111	0.004972795038938784	0.07051804761150711
38400	10000	2.2138837814331054	 2.1867752075195312	2.176046371459961	6.177663803100586	2.1555423736572266	3.9637800216674806	0.4995	0.013522690389745549	0.11628710328211615
39000	10000	2.106821370124817	 2.122640609741211	2.123594284057617	4.064798355102539	1.9822120666503906	1.957976984977722	0.5004	0.003560473868987515	0.0596697064597063
40000	10000	2.0592359066009522	 2.075672149658203	2.074718475341797	4.951000213623047	1.936197280883789	2.8917643070220946	0.5049	0.007726357877688769	0.08789970351308797
41000	10000	2.015836071968079	 2.033233642578125	2.031087875366211	6.294965744018555	1.8892288208007812	4.279129672050476	0.5056	0.005346718173854583	0.07312125664849164
42000	10000	1.969739818572998	 1.9915103912353516	1.993417739868164	3.3473968505859375	1.8510818481445312	1.3776570320129395	0.5053	0.003528754428216418	0.059403320010050095
43000	10000	1.9323938131332397	 1.9512176513671875	1.9533634185791016	4.801750183105469	1.8100738525390625	2.869356369972229	0.4992	0.005571339243123815	0.07464140434855052
44000	10000	1.9150105237960815	 1.9121170043945312	1.9092559814453125	4.843950271606445	1.7726421356201172	2.9289397478103636	0.5008	0.0039209206717208634	0.06261725538316786
45000	10000	1.8826311826705933	 1.8765926361083984	1.8758773803710938	3.7412643432617188	1.7380714416503906	1.8586331605911255	0.5054	0.000862481831731543	0.02936804099240436
46000	10000	1.831180953979492	 1.83868408203125	1.8377304077148438	2.1474361419677734	1.699686050415039	0.31625518798828134	0.4891	0.0019449345656903465	0.04410141228680037
47000	10000	1.7830035924911498	 1.806020736694336	1.8057823181152344	2.2733211517333984	1.6655921936035156	0.4903175592422486	0.4918	0.003223089125139609	0.05677225665005407
48000	10000	1.7513720750808717	 1.7774105072021484	1.7788410186767578	5.310773849487305	1.631021499633789	3.559401774406433	0.4944	0.008738968158945114	0.0934824484004624
49000	10000	1.7221982955932618	 1.7414093017578125	1.741170883178711	10.482072830200195	1.6028881072998047	8.759874534606933	0.5011	0.018812530339673682	0.1371587778440508
50000	10000	1.71354820728302	 1.7151832580566406	1.712799072265625	4.311561584472656	1.5735626220703125	2.5980133771896363	0.4986	0.004308099261583606	0.06563611248073431
51000	10000	1.6518569469451905	 1.6872882843017578	1.6894340515136719	4.931449890136719	1.543283462524414	3.2795929431915285	0.496	0.009115466476939674	0.09547495209184279
52000	10000	1.6294846773147582	 1.6601085662841797	1.6603469848632812	4.073858261108398	1.5206336975097656	2.4443735837936402	0.4949	0.005009086844051466	0.07077490264247253
53000	10000	1.6330889463424683	 1.6350746154785156	1.6324520111083984	8.701562881469727	1.4946460723876953	7.068473935127258	0.5045	0.010449726834607986	0.10222390539696664
54000	10000	1.5978557825088502	 1.6095638275146484	1.6107559204101562	2.521038055419922	1.4688968658447266	0.9231822729110717	0.4953	0.0022259477094388547	0.04717995029076286
55000	10000	1.5739925384521485	 1.584768295288086	1.5864372253417969	5.588531494140625	1.4450550079345703	4.014538955688477	0.5025	0.0046131263428469535	0.06791999957926202
56000	10000	1.5441710472106933	 1.5625953674316406	-1	1.817941665649414	1.421213150024414	0.27377061843872075	0.5008	0.002987866125758956	0.05466137691056598
57000	10000	1.5153823852539063	 1.5377998352050781	1.537322998046875	4.385232925415039	1.3976097106933594	2.8698505401611327	0.5038	0.005058262169350202	0.07112146068065674
57600	10000	1.594951367378235	 1.5654563903808594	1.5554428100585938	3.910541534423828	1.531362533569336	2.315590167045593	0.4941	0.013583434401948011	0.11654799184004849
58000	10000	1.488827395439148	 1.5153884887695312	1.5153884887695312	1.8267631530761719	1.3740062713623047	0.3379357576370239	0.4962	0.00354317083019339	0.05952453973105034
59000	10000	1.5042344093322755	 1.5003681182861328	1.4998912811279297	2.0546913146972656	1.3654232025146484	0.5504569053649901	0.5009	0.0003738371203235146	0.0193348679934339
60000	10000	1.4800698041915894	 1.4801025390625	1.4755725860595703	6.9427490234375	1.3365745544433594	5.462679219245911	0.5015	0.00455428431955113	0.06748543783329208
61000	10000	1.452600622177124	 1.4600753784179688	1.4600753784179688	2.1049976348876953	1.3170242309570312	0.6523970127105714	0.4972	0.002197408225472372	0.046876521047027074
62000	10000	1.4276847124099732	 1.4348030090332031	1.4340877532958984	1.8055438995361328	1.2962818145751953	0.3778591871261596	0.5041	0.0018885213336437808	0.04345712063222529
63000	10000	1.3916717290878295	 1.4200210571289062	1.4197826385498047	3.932476043701172	1.2786388397216797	2.540804314613342	0.4968	0.004780095753603176	0.06913823655259929
64000	10000	1.3701952695846558	 1.401662826538086	-1	1.711130142211914	1.2598037719726562	0.3409348726272583	0.4873	0.0039136639349948155	0.06255928336382072
65000	10000	1.3626584529876709	 1.383066177368164	1.3844966888427734	2.2318363189697266	1.2416839599609375	0.8691778659820557	0.4893	0.0035922343696233854	0.0599352514771014
66000	10000	1.3346887350082397	 1.3699531555175781	1.3706684112548828	1.5835762023925781	1.2269020080566406	0.24888746738433842	0.5003	0.00442143781048742	0.06649389303152146
67000	10000	1.3340580940246582	 1.3539791107177734	1.3539791107177734	1.5902519226074219	1.2116432189941406	0.2561938285827636	0.4995	0.002969983438388226	0.0544975544257559
68000	10000	1.3173404932022095	 1.3318061828613281	1.3308525085449219	2.0029544830322266	1.1937618255615234	0.6856139898300171	0.4858	0.003184439793685101	0.0564308408025709
69000	10000	1.32060387134552	 1.322031021118164	1.3217926025390625	3.0024051666259766	1.1789798736572266	1.6818012952804566	0.494	0.0016577068379996262	0.040714946125466334
