speed_hz[hz]	send_bytes[byte]	average_proctime[us]	 median_proctime[us]	mode_proctime[us]	max_proctime[us]	min_proctime[us]
10000	10000	3312.6324	3304.0	3304.0	8932.0	3292.0
11000	10000	3029.866	3012.0	3012.0	6332.0	2948.0
12000	10000	2778.384	2772.0	2772.0	5296.0	2708.0
13000	10000	2565.7956	2564.0	2564.0	3256.0	2504.0
14000	10000	2390.0912	2388.0	2388.0	4872.0	2324.0
14400	10000	2338.448	2328.0	2328.0	4848.0	2316.0
15000	10000	2248.0032	2236.0	2236.0	5356.0	2176.0
16000	10000	2117.9116	2104.0	2104.0	3888.0	2040.0
17000	10000	1998.2884	1988.0	1988.0	4024.0	1924.0
18000	10000	1887.5356	1884.0	1880.0	3496.0	1820.0
19000	10000	1793.8132	1788.0	1788.0	4344.0	1728.0
19200	10000	1785.7368	1776.0	1772.0	3760.0	1764.0
20000	10000	1714.9496	1704.0	1704.0	3676.0	1644.0
21000	10000	1634.0892	1628.0	1628.0	4312.0	1560.0
22000	10000	1560.3112	1560.0	1560.0	2316.0	1496.0
23000	10000	1498.1068	1496.0	1496.0	2296.0	1432.0
24000	10000	1439.5172	1436.0	1436.0	2504.0	1376.0
25000	10000	1385.3404	1384.0	1384.0	2196.0	1320.0
25237	10000	1382.1144	1372.0	1372.0	3512.0	1360.0
25256	10000	1383.718	1372.0	1372.0	2340.0	1364.0
25265	10000	1384.642	1372.0	1372.0	3016.0	1360.0
25270	10000	1372.754	1368.0	1368.0	2204.0	1360.0
25271	10000	1380.2176	1372.0	1372.0	3196.0	1360.0
25275	10000	1382.1916	1368.0	1368.0	3920.0	1360.0
25312	10000	1376.566	1368.0	1368.0	5912.0	1360.0
25331	10000	1380.1116	1368.0	1368.0	4832.0	1360.0
25335	10000	1374.9984	1368.0	1368.0	4392.0	1360.0
25340	10000	1389.3308	1368.0	1368.0	5152.0	1356.0
26000	10000	1336.118	1336.0	1336.0	3264.0	1272.0
27000	10000	1298.1084	1292.0	1292.0	2124.0	1228.0
28000	10000	1250.0788	1248.0	1248.0	2196.0	1188.0
28800	10000	1239.136	1216.0	1216.0	4188.0	1204.0
29000	10000	1212.0948	1208.0	1204.0	3532.0	1148.0
30000	10000	1180.238	1172.0	1172.0	3844.0	1112.0
31000	10000	1148.1224	1140.0	1140.0	3012.0	1072.0
32000	10000	1112.4156	1108.0	1104.0	3176.0	1044.0
33000	10000	1089.676	1076.0	1076.0	3152.0	1012.0
34000	10000	1055.688	1048.0	1044.0	3168.0	984.0
35000	10000	1019.7172	1020.0	1020.0	3232.0	956.0
36000	10000	1003.0836	992.0	992.0	2944.0	928.0
37000	10000	970.7592	968.0	964.0	2512.0	908.0
38000	10000	956.328	944.0	944.0	3908.0	884.0
38400	10000	949.7664	940.0	940.0	1660.0	928.0
39000	10000	937.5092	924.0	924.0	3464.0	868.0
40000	10000	908.3836	904.0	904.0	5732.0	840.0
41000	10000	889.2656	888.0	884.0	3140.0	828.0
42000	10000	870.0392	868.0	868.0	2424.0	804.0
43000	10000	865.3632	848.0	848.0	2632.0	788.0
44000	10000	841.5576	832.0	832.0	3428.0	764.0
45000	10000	815.0696	812.0	812.0	7724.0	748.0
46000	10000	802.826	800.0	800.0	3520.0	736.0
47000	10000	792.182	788.0	788.0	3168.0	720.0
48000	10000	774.254	772.0	768.0	3448.0	708.0
49000	10000	768.9364	760.0	760.0	4888.0	696.0
50000	10000	751.0576	744.0	744.0	2432.0	684.0
52000	10000	726.6112	720.0	720.0	2604.0	660.0
53000	10000	709.3628	708.0	708.0	1724.0	648.0
54000	10000	698.4176	696.0	696.0	3516.0	628.0
55000	10000	688.0048	688.0	688.0	3280.0	624.0
56000	10000	679.9796	676.0	672.0	3524.0	612.0
57000	10000	672.594	668.0	664.0	3788.0	604.0
57600	10000	676.9108	660.0	660.0	2832.0	652.0
58000	10000	664.5952	656.0	660.0	3084.0	596.0
59000	10000	649.5564	648.0	648.0	3284.0	584.0
60000	10000	642.8696	640.0	640.0	3308.0	576.0
61000	10000	635.6076	628.0	628.0	4040.0	568.0
62000	10000	632.4212	624.0	624.0	2476.0	560.0
63000	10000	618.2432	612.0	612.0	2904.0	548.0
64000	10000	614.6428	604.0	604.0	3428.0	544.0
65000	10000	599.0032	600.0	596.0	1776.0	536.0
66000	10000	597.0176	592.0	588.0	2988.0	524.0
67000	10000	589.174	584.0	584.0	2412.0	520.0
68000	10000	580.2476	576.0	576.0	3192.0	512.0
69000	10000	575.5	568.0	568.0	3576.0	504.0
70000	10000	574.3128	564.0	564.0	2484.0	500.0
71000	10000	558.1448	556.0	556.0	3192.0	492.0
72000	10000	552.5988	548.0	548.0	2232.0	480.0
73000	10000	552.3568	544.0	544.0	3000.0	480.0
74000	10000	539.1776	536.0	536.0	2960.0	476.0
75000	10000	540.5644	536.0	532.0	3208.0	472.0
76000	10000	532.0872	528.0	528.0	3060.0	464.0
77000	10000	531.0432	524.0	520.0	3024.0	460.0
78000	10000	520.2332	516.0	516.0	1360.0	452.0
