speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	2	16438.559168670778	 16561.91115498519	16508.945633456333	17189.77049180328	12065.599424667385	751.211323132502	0.0	520847.5338531788	721.6976748287185
11000	2	17073.562399484603	 16594.674579624134	16590.572064276887	19491.392390357247	13992.673894912426	2417.829990872644	0.0	1290081.2887423893	1135.8174539697782
12000	2	19486.26509679106	 20935.54977993667	21129.994962216624	21223.549652118912	14989.694884967612	1737.284555327853	0.0	2923922.3733254937	1709.9480615871037
13000	2	19720.020047129885	 19065.01818181818	19054.191936399773	22974.619650804518	13481.089594214543	3254.599603674633	0.0	2482478.7261939715	1575.5883746061252
14000	2	21814.09554694254	 20177.048707155744	-1	24609.044371103777	1255.0985430810376	2794.948824161238	0.0	5558456.98688368	2357.63801014568
14400	2	24110.771503010466	 24429.874044412085	24564.005856515374	25257.382009785473	18677.66880044531	1146.6105067750068	0.0	755983.1346758996	869.4729062345184
15000	2	22611.2418389961	 21505.805391105743	21509.251282051282	26598.83630598494	17609.253214379427	3987.5944669888413	0.0	4857012.411866556	2203.863065588821
16000	2	26638.35601847934	 28161.503986571548	28197.00168067227	28363.847844463227	14275.444373537544	1725.4918259838887	0.0	6568002.064774043	2562.8113595764403
17000	2	29220.042996986864	 29852.697508896796	29852.697508896796	30066.695340501792	4635.550459349312	846.6523435149284	0.0	4444609.789457476	2108.2243214272708
18000	2	30947.145197443217	 31476.953095684803	31506.508920187793	31911.01474084641	19972.876190476192	963.8695434031943	0.0	2897860.874548305	1702.310451870723
19000	2	26231.94639275313	 25840.917982287254	-1	33537.66316841579	18441.567463588897	7305.716775662662	0.0	4060507.9166039866	2015.0702014083745
19200	2	29730.84892689576	 30366.001809954752	30911.498848456933	32357.215043394408	14242.118845500849	2626.366116498648	0.0	5901720.041453753	2429.3455994266756
20000	2	32732.50132168139	 34843.64693665628	34934.33836543467	35246.252100840335	6586.403376190009	2513.750779158945	0.0	14763447.774090167	3842.323226134179
21000	2	32470.769985606028	 36393.09327548807	36771.9802739726	37056.247377139705	6161.298567756151	4585.477391533677	0.0	21945616.319626268	4684.614852858906
22000	2	30588.438052472833	 28617.852452025585	-1	38994.11040092969	1212.5551359653084	8405.672348456857	0.0	21470998.752187055	4633.680907462992
23000	2	38646.3567990581	 39545.58868591632	39639.021854695806	40209.0257639305	10076.406006006006	1562.6689648723986	0.0	9020717.208075555	3003.4508832467286
24000	2	34636.16816191816	 30407.27865881287	30147.7376460018	42581.766497461926	4890.247322014136	7945.598335543764	0.0	33266426.233616915	5767.705456558692
25000	2	37634.23362756144	 42366.97724069764	43833.3533638145	44063.60078791858	22024.569740728584	6429.367160357135	0.0	38013477.49749109	6165.50707545544
26000	2	36099.97587124488	 32171.075743048896	32140.260536398466	45069.75419744795	24975.386676590995	8969.778326203072	0.0	37741270.02649947	6143.392387476114
27000	2	37573.86652661064	 33222.2099009901	33255.13577799802	48314.51691864651	21675.98966408269	10740.650392035866	0.001	42793142.121245205	6541.64674384403
28000	2	34623.47409764886	 34221.75624681285	34291.70362800205	49308.49669360764	24726.921149594695	14685.022595958777	0.0	11397655.45427264	3376.041388116064
28800	2	40502.20748053163	 43032.299389812666	43380.00258564964	48489.06358381503	11453.979177334017	7986.856103283397	0.002	49357519.36983385	7025.490685342473
29000	2	47983.393647955214	 49932.19047619047	50306.49475262369	50571.864355689526	26420.812598425196	2588.470707734312	0.005	26697470.904667843	5166.959541613215
30000	2	51453.37935970769	 51701.74422187982	51821.5166023166	52593.15360501567	8803.471599107963	1139.7742453079845	0.003	4987556.375918642	2233.283765202855
31000	2	53648.768199247315	 53902.70200803213	54120.051612903226	55279.13014827018	28114.312526183494	1630.3619490228666	0.003	2328664.2015253324	1525.9961341777155
32000	2	47323.912741990614	 54339.16113360324	55416.07266721717	56017.41569282137	28864.02752688172	8693.502950830756	0.007	79131130.34565343	8895.568017032607
33000	2	54288.74019839729	 56536.53243470935	56823.76291278577	58457.19860627178	28292.101180438447	4168.458407874488	0.004	36243130.94495048	6020.226818397333
34000	2	45307.06663330579	 38858.635784597565	38881.14947856315	58970.88224956063	28114.312526183494	13663.81561625484	0.005	88453029.41924678	9404.947071581359
35000	2	60481.2547954447	 60952.64668483197	61174.89881494986	61965.71006463527	9853.011892526794	1484.45526919057	0.007	7046652.947308142	2654.5532481583678
36000	2	53621.59135320885	 61455.00366300366	62310.92293407614	63489.93755912961	29433.712280701755	9868.34620592076	0.01	111126380.67117068	10541.649807841783
37000	2	62898.07670600257	 63370.032105760154	63610.297630331755	65472.06243902439	29865.983088562527	2573.985733021822	0.005	5456512.210087118	2335.9178517420337
38000	2	54212.92926960409	 62777.234798877456	63429.92816635161	64589.85948026949	8042.768935762224	10376.930210665407	1.0	130202016.44583474	11410.60981919173
38400	2	56825.18565922309	 57456.21917808219	-1	61511.332722273146	38590.49108683151	4686.147063050055	1.0	10342725.246930128	3216.010765984798
39000	2	65091.25003262561	 67243.3507014028	67378.37751004015	68269.44455747711	28448.013565069945	3178.1945248514967	1.0	46407383.34332691	6812.296480873899
40000	2	67838.52613362792	 68269.44455747711	68548.379979571	69759.73388773389	31213.42511627907	1921.2077541059698	1.0	6002332.68052139	2449.965852929667
41000	2	69188.63815655098	 69615.0041493776	69905.06666666667	71165.28525980913	29852.697508896796	1976.6471032581467	1.0	4911418.5382035505	2216.1720461650875
42000	2	55613.587296208796	 44979.131367292226	-1	74071.59381898455	27616.81646090535	18458.00652277575	1.0	199192684.39308918	14113.563844511038
43000	2	48382.764310220075	 45039.506040268454	45130.37256220578	75403.2179775281	15258.950432014552	27020.453667308022	1.0	100240781.51956852	10012.031837722478
44000	2	75325.50384929842	 76000.97848244621	76433.78587699316	77852.51044083526	33404.11348929816	2527.006591536847	1.0	7776027.580327891	2788.552954549705
45000	2	52773.18352286418	 46122.93058419244	46122.93058419244	78766.27230046949	31536.120300751878	25993.088777605306	1.0	180460669.37567568	13433.56502852745
46000	2	46787.199977426426	 46668.19471488178	46896.48078266946	79137.81132075471	33437.40109616343	32350.611343328288	1.0	22848226.243718583	4779.9818246222
47000	2	67049.6345251879	 78124.40512223516	79512.8720379147	80562.8619447779	29760.028381374723	13513.22741959001	1.0	250148685.96726432	15816.08946507525
48000	2	79417.28622911268	 79986.72705601907	-1	81640.95377128954	33859.16448032291	2223.6675421768596	1.0	7954128.1484246515	2820.306392650389
49000	2	75820.16143373055	 83158.44361833953	83572.68244084682	86369.19433719433	33437.40109616343	10549.032903463783	1.0	196352605.78512406	14012.58740508419
50000	2	83819.67665504428	 84733.41414141415	-1	87267.70351105332	35025.503131524005	3448.0268560090335	1.0	13025123.164795022	3609.033549968055
