speed_hz[hz]	send_bytes[byte]	average_2Delay[ms]	median_2Delay[ms]	mode_2Delay[ms]	max_2Delay[ms]	min_2Delay[ms]	fluctuation[ms]	error_rate	variance[ms^2]	standard deviation[ms]
10000	10000	1.2308451414108277	 1.123189926147461	1.1005401611328125	5.443811416625977	1.0671615600585938	4.212966275215149	0.0	0.08601162182357655	0.29327738034764383
11000	10000	1.2037318229675293	 1.119852066040039	1.1138916015625	6.458759307861328	1.066446304321289	5.255027484893799	0.0	0.07134691373858913	0.26710843067673684
12000	10000	1.0958178997039796	 1.0936260223388672	1.0936260223388672	1.512765884399414	1.0721683502197266	0.4169479846954345	0.0	0.0002603197797520806	0.01613442839867842
13000	10000	1.1267211437225342	 1.0950565338134766	-1	9.068727493286133	1.0609626770019531	7.942006349563599	0.0	0.02251918004270692	0.15006391985652953
14000	10000	1.1308656454086303	 1.1026859283447266	1.0917186737060547	4.584789276123047	1.0693073272705078	3.4539236307144163	0.0	0.012481585119275565	0.11172101467170607
14400	10000	1.119756317138672	 1.102447509765625	-1	2.466440200805664	1.0693073272705078	1.346683883666992	0.0	0.005430372591345076	0.07369106181447704
15000	10000	1.0984421253204346	 1.094818115234375	-1	1.722097396850586	1.0671615600585938	0.6236552715301513	0.0	0.00043742075604086495	0.020914606284624746
16000	10000	1.0958104372024535	 1.093149185180664	1.0900497436523438	1.5017986297607422	1.066446304321289	0.40598819255828866	0.0	0.0002713608537072787	0.016473034137865394
17000	10000	1.0961117267608642	 1.0924339294433594	1.0921955108642578	3.8852691650390625	1.0733604431152344	2.789157438278198	0.0	0.0011472018794825092	0.0338703687532703
18000	10000	1.0954710006713868	 1.0914802551269531	1.0907649993896484	3.2613277435302734	1.065969467163086	2.1658567428588866	0.0	0.0009271493903179363	0.03044912790734632
19000	10000	1.1615298748016358	 1.116037368774414	1.096487045288086	4.569053649902344	1.073598861694336	3.407523775100708	0.0	0.02350550832213912	0.1533150622807137
19200	10000	1.1605583667755126	 1.1057853698730469	1.0933876037597656	5.626201629638672	1.071929931640625	4.465643262863159	0.0	0.03229312228329718	0.17970287221771714
20000	10000	1.098216962814331	 1.0950565338134766	1.0936260223388672	2.1622180938720703	1.0731220245361328	1.0640011310577393	0.0	0.00079774328960184	0.02824434969337832
21000	10000	1.0984391450881958	 1.0957717895507812	1.096487045288086	1.5103816986083984	1.0662078857421875	0.4119425535202026	0.0	0.00029674228407600367	0.01722620921955854
22000	10000	1.0918891429901123	 1.0876655578613281	1.0857582092285156	9.700298309326172	1.0597705841064453	8.60840916633606	0.0	0.007764878033356126	0.088118545342942
23000	10000	1.220682954788208	 1.1214017868041992	1.1031627655029297	5.917072296142578	1.068115234375	4.6963893413543705	0.0	0.06390185652906212	0.2527881653263501
24000	10000	1.1578547954559326	 1.1026859283447266	1.0983943939208984	5.34367561340332	1.0721683502197266	4.185820817947388	0.0	0.0350863012599234	0.18731337715156224
25000	10000	1.2403948307037354	 1.1277198791503906	1.1136531829833984	5.959987640380859	1.0690689086914062	4.719592809677124	0.0	0.0659195206112031	0.25674797099724683
26000	10000	1.2001628637313844	 1.117706298828125	1.0952949523925781	5.920171737670898	1.0657310485839844	4.7200088739395145	0.0	0.05287309095169746	0.22994149462786717
27000	10000	1.2460905075073243	 1.1277198791503906	1.1174678802490234	5.940675735473633	1.0678768157958984	4.694585227966309	0.0	0.07715047597061128	0.27775974505066653
