speed_hz[hz]	send_bytes[byte]	average_proctime[us]	 median_proctime[us]	mode_proctime[us]	max_proctime[us]	min_proctime[us]
10000	10000	58.996033668518066	57.697296142578125	57.45887756347656	3579.6165466308594	13.589859008789062
11000	10000	60.764217376708984	60.558319091796875	60.79673767089844	2057.0755004882812	13.3514404296875
12000	10000	61.09519004821777	61.03515625	61.75041198730469	3165.006637573242	13.113021850585938
13000	10000	60.41429042816162	61.03515625	61.27357482910156	304.6989440917969	13.3514404296875
14000	10000	61.6206169128418	60.558319091796875	60.79673767089844	1760.4827880859375	14.066696166992188
14400	10000	59.95817184448242	58.88938903808594	61.511993408203125	1697.0634460449219	13.113021850585938
15000	10000	61.025094985961914	60.558319091796875	60.558319091796875	1388.3113861083984	13.3514404296875
16000	10000	60.92073917388916	60.79673767089844	61.511993408203125	1713.5143280029297	13.589859008789062
17000	10000	59.70580577850342	59.84306335449219	60.08148193359375	1705.6465148925781	13.3514404296875
18000	10000	60.61995029449463	61.27357482910156	61.511993408203125	1581.430435180664	13.589859008789062
19000	10000	61.46194934844971	59.84306335449219	59.84306335449219	3057.9566955566406	13.589859008789062
19200	10000	60.14871597290039	60.558319091796875	60.558319091796875	1122.7130889892578	12.874603271484375
20000	10000	59.17997360229492	58.650970458984375	61.27357482910156	1177.072525024414	12.874603271484375
21000	10000	58.97164344787598	58.17413330078125	57.697296142578125	301.12266540527344	13.3514404296875
22000	10000	59.143877029418945	57.93571472167969	57.93571472167969	4015.4457092285156	13.113021850585938
23000	10000	59.552693367004395	60.08148193359375	59.84306335449219	268.69773864746094	13.113021850585938
24000	10000	58.87808799743652	58.650970458984375	58.41255187988281	837.0876312255859	13.113021850585938
25000	10000	57.882094383239746	57.93571472167969	57.93571472167969	372.88665771484375	12.874603271484375
26000	10000	59.745216369628906	60.558319091796875	61.03515625	1669.8837280273438	12.874603271484375
27000	10000	60.128188133239746	60.558319091796875	-1	301.361083984375	12.874603271484375
28000	10000	59.89792346954346	60.558319091796875	60.558319091796875	843.2865142822266	12.874603271484375
28800	10000	60.19861698150635	60.08148193359375	60.31990051269531	2268.552780151367	13.113021850585938
29000	10000	59.392738342285156	57.93571472167969	57.93571472167969	2866.983413696289	13.589859008789062
30000	10000	59.078240394592285	59.1278076171875	59.36622619628906	296.59271240234375	13.828277587890625
31000	10000	58.432650566101074	58.17413330078125	57.93571472167969	274.89662170410156	13.589859008789062
32000	10000	60.55107116699219	61.27357482910156	61.511993408203125	302.0763397216797	12.874603271484375
33000	10000	61.37382984161377	60.31990051269531	60.558319091796875	2202.9876708984375	13.3514404296875
34000	10000	59.40265655517578	59.84306335449219	59.84306335449219	1627.4452209472656	13.113021850585938
35000	10000	59.325313568115234	59.36622619628906	59.604644775390625	305.41419982910156	13.113021850585938
36000	10000	60.135436058044434	60.79673767089844	61.75041198730469	1406.6696166992188	13.3514404296875
37000	10000	59.56430435180664	58.41255187988281	61.27357482910156	1432.8956604003906	13.3514404296875
38000	10000	60.37454605102539	59.604644775390625	58.88938903808594	1684.427261352539	13.828277587890625
38400	10000	61.273956298828125	59.84306335449219	62.465667724609375	2078.2947540283203	13.589859008789062
39000	10000	60.147809982299805	59.84306335449219	59.84306335449219	3449.9168395996094	13.113021850585938
40000	10000	65.90940952301025	60.79673767089844	61.03515625	7858.037948608398	14.30511474609375
41000	10000	65.69116115570068	59.604644775390625	59.84306335449219	9447.574615478516	12.874603271484375
42000	10000	59.732794761657715	60.79673767089844	61.27357482910156	2176.2847900390625	12.874603271484375
43000	10000	60.2168083190918	58.88938903808594	58.17413330078125	1749.277114868164	13.828277587890625
44000	10000	58.60607624053955	58.17413330078125	58.17413330078125	846.1475372314453	13.828277587890625
45000	10000	60.47043800354004	61.27357482910156	61.511993408203125	2996.206283569336	13.589859008789062
46000	10000	59.561991691589355	59.84306335449219	59.84306335449219	2461.1949920654297	13.3514404296875
47000	10000	60.121750831604004	60.558319091796875	60.79673767089844	658.9889526367188	13.113021850585938
48000	10000	59.96806621551514	60.31990051269531	60.558319091796875	253.20053100585938	12.636184692382812
49000	10000	58.83135795593262	58.41255187988281	57.45887756347656	266.79039001464844	12.874603271484375
50000	10000	57.86788463592529	57.93571472167969	58.17413330078125	2024.1737365722656	13.828277587890625
51000	10000	58.849287033081055	58.650970458984375	58.650970458984375	266.5519714355469	13.3514404296875
52000	10000	59.6369743347168	59.1278076171875	58.650970458984375	249.38583374023438	13.3514404296875
53000	10000	57.92515277862549	58.650970458984375	58.88938903808594	292.3011779785156	13.828277587890625
54000	10000	59.20736789703369	59.1278076171875	61.27357482910156	222.92137145996094	13.828277587890625
55000	10000	59.10439491271973	58.41255187988281	58.41255187988281	4084.5870971679688	13.828277587890625
56000	10000	58.579397201538086	58.17413330078125	58.41255187988281	273.4661102294922	13.589859008789062
57000	10000	58.80863666534424	59.36622619628906	59.1278076171875	281.0955047607422	13.3514404296875
