speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	2	20593.277877380497	 20991.199249296216	-1	22880.621888851005	14327.255337318531	2287.344011470508	0.0	1369511.8468615105	1170.261443807114
11000	2	19778.97128943157	 20906.18816199377	20984.635397123202	23109.112947658403	4695.883003288784	3330.141658226832	0.0	10791936.531718023	3285.108298324124
12000	2	21250.31936482816	 21668.99063609945	21873.814863102998	23285.51839000694	13983.926651385706	2035.1990251787793	0.0	1237715.8281682665	1112.526776382603
13000	2	20965.882736053136	 21290.883248730963	21523.048107761384	22872.82344921609	13802.728095433979	1906.9407131629523	0.0	1007084.6961250062	1003.536096074778
14000	2	19710.10794813878	 20831.55847170695	21365.445399554283	22671.913513513515	2631.4105791475513	2961.805565374736	0.0	10552245.817082422	3248.422050331887
14400	2	20627.6313943554	 21143.30938878387	21661.996126533246	22580.371467025572	4247.934168882137	1952.7400726701708	0.0	4660692.370728193	2158.8636758091498
19200	2	20249.02528642608	 20912.70302274852	21290.883248730963	21816.92587776333	5867.1851722329075	1567.9005913372494	0.0	3923003.0157974623	1980.6572181469116
20000	2	20588.56224408871	 21076.904522613066	21571.47669559627	22919.69398907104	4196.6646238509165	2331.131744982329	0.0	2307259.6922262963	1518.9666527696704
21000	2	20939.14686950087	 21001.05324456823	-1	22702.592692828148	13757.454694546945	1763.445823327278	0.0	364896.8492242439	604.0669244580802
22000	2	19765.68673070072	 20728.607135340433	21440.53162939297	21866.68752036494	3430.923517382413	2101.00078966422	0.0	9606182.554449955	3099.3842218172877
23000	2	19572.959039520607	 20760.66994760101	20738.215080346105	22911.86889723455	4692.599398643451	3338.909857713945	0.0	11588711.40788625	3404.2196474208667
24000	2	20928.456936767703	 21331.488874761602	-1	23399.18549511855	13816.937204035412	2470.7285583508456	0.0	1416021.9604215687	1189.9672098094
25000	2	21112.238435379848	 21196.73531269741	-1	22974.619650804518	13822.629042224511	1862.3812154246698	0.0	376792.85528678	613.8345504179282
