speed_hz[hz]	send_bytes[byte]	average_proctime[us]	 median_proctime[us]	mode_proctime[us]	max_proctime[us]	min_proctime[us]
10000	10000	17.770934104919434	15.2587890625	14.543533325195312	480.41343688964844	8.58306884765625
11000	10000	18.721437454223633	15.735626220703125	15.020370483398438	1905.202865600586	7.8678131103515625
12000	10000	19.17281150817871	15.497207641601562	14.543533325195312	1347.3033905029297	8.106231689453125
13000	10000	18.623661994934082	15.2587890625	14.543533325195312	1397.848129272461	8.58306884765625
14000	10000	24.951171875	24.557113647460938	25.510787963867188	532.3886871337891	7.62939453125
14400	10000	21.103668212890625	18.358230590820312	13.828277587890625	1524.6868133544922	7.3909759521484375
15000	10000	23.045682907104492	23.126602172851562	25.74920654296875	2103.090286254883	7.8678131103515625
16000	10000	18.03135871887207	14.543533325195312	14.066696166992188	2685.070037841797	8.344650268554688
17000	10000	20.664405822753906	16.21246337890625	14.30511474609375	515.6993865966797	7.62939453125
18000	10000	26.68600082397461	25.74920654296875	25.987625122070312	976.0856628417969	8.58306884765625
19000	10000	23.570537567138672	24.318695068359375	25.510787963867188	732.421875	7.8678131103515625
19200	10000	18.804097175598145	14.543533325195312	14.066696166992188	2212.2859954833984	8.106231689453125
20000	10000	18.778061866760254	14.543533325195312	14.066696166992188	2871.274948120117	7.62939453125
21000	10000	18.90850067138672	14.543533325195312	14.30511474609375	3010.272979736328	7.8678131103515625
22000	10000	21.529364585876465	24.7955322265625	13.828277587890625	233.65020751953125	7.62939453125
23000	10000	17.28494167327881	14.066696166992188	13.828277587890625	2537.250518798828	7.8678131103515625
24000	10000	19.652986526489258	14.543533325195312	13.828277587890625	2680.540084838867	7.62939453125
25000	10000	22.527456283569336	23.365020751953125	13.589859008789062	1529.693603515625	7.8678131103515625
26000	10000	23.962116241455078	25.033950805664062	27.179718017578125	1983.1657409667969	7.152557373046875
27000	10000	25.42736530303955	25.510787963867188	14.066696166992188	2070.188522338867	7.8678131103515625
28000	10000	18.702220916748047	14.066696166992188	13.828277587890625	2267.599105834961	6.67572021484375
28800	10000	22.14365005493164	14.30511474609375	13.828277587890625	2529.8595428466797	8.106231689453125
29000	10000	21.917200088500977	14.30511474609375	13.589859008789062	3387.2127532958984	9.5367431640625
30000	10000	25.516748428344727	27.179718017578125	27.894973754882812	2081.8710327148438	8.344650268554688
31000	10000	28.923392295837402	27.894973754882812	27.894973754882812	2072.3342895507812	7.8678131103515625
32000	10000	17.353296279907227	14.543533325195312	13.589859008789062	121.11663818359375	7.62939453125
33000	10000	28.474783897399902	25.74920654296875	25.987625122070312	2074.4800567626953	9.059906005859375
34000	10000	15.77754020690918	14.066696166992188	13.3514404296875	156.402587890625	8.106231689453125
35000	10000	25.335693359375	25.74920654296875	27.65655517578125	918.8652038574219	8.106231689453125
36000	10000	22.524499893188477	15.020370483398438	13.589859008789062	13527.154922485352	6.9141387939453125
37000	10000	20.729422569274902	14.781951904296875	13.828277587890625	2104.2823791503906	9.298324584960938
38000	10000	27.006840705871582	27.65655517578125	28.371810913085938	1492.2618865966797	8.821487426757812
38400	10000	19.494104385375977	15.2587890625	13.3514404296875	212.66937255859375	7.62939453125
39000	10000	26.044917106628418	25.510787963867188	25.510787963867188	2222.5379943847656	9.298324584960938
40000	10000	25.327587127685547	14.543533325195312	13.828277587890625	3542.9000854492188	8.106231689453125
41000	10000	24.127650260925293	14.543533325195312	14.066696166992188	3577.2323608398438	10.728836059570312
42000	10000	21.618008613586426	14.781951904296875	13.828277587890625	2282.6194763183594	11.920928955078125
43000	10000	19.51613426208496	14.185905456542969	13.589859008789062	2708.43505859375	8.821487426757812
44000	10000	28.449702262878418	26.941299438476562	27.65655517578125	6252.527236938477	11.682510375976562
45000	10000	28.339576721191406	26.226043701171875	25.033950805664062	6195.545196533203	7.62939453125
46000	10000	24.71187114715576	25.510787963867188	25.74920654296875	2005.1002502441406	8.344650268554688
47000	10000	24.600553512573242	14.781951904296875	13.589859008789062	3493.785858154297	8.106231689453125
48000	10000	25.774478912353516	14.30511474609375	13.828277587890625	6698.369979858398	7.152557373046875
49000	10000	24.592256546020508	14.30511474609375	13.828277587890625	3550.5294799804688	8.821487426757812
50000	10000	22.062039375305176	14.066696166992188	13.589859008789062	3583.669662475586	8.106231689453125
51000	10000	20.27885913848877	14.066696166992188	13.828277587890625	2206.8023681640625	8.344650268554688
52000	10000	19.14680004119873	14.066696166992188	13.589859008789062	1878.7384033203125	8.106231689453125
53000	10000	20.06056308746338	14.066696166992188	13.828277587890625	7284.402847290039	8.821487426757812
54000	10000	26.590585708618164	25.272369384765625	14.066696166992188	1700.1628875732422	9.059906005859375
55000	10000	23.45881462097168	14.781951904296875	13.828277587890625	6218.671798706055	8.821487426757812
56000	10000	23.592782020568848	23.126602172851562	13.828277587890625	2414.226531982422	8.821487426757812
57000	10000	27.55727767944336	28.133392333984375	28.6102294921875	1514.1963958740234	8.106231689453125
57600	10000	28.972744941711426	27.65655517578125	27.894973754882812	3325.4623413085938	8.344650268554688
58000	10000	22.305870056152344	14.543533325195312	13.828277587890625	1980.3047180175781	7.3909759521484375
59000	10000	21.08941078186035	14.30511474609375	13.828277587890625	1724.0047454833984	8.344650268554688
60000	10000	28.02431583404541	27.65655517578125	28.371810913085938	1751.8997192382812	11.682510375976562
61000	10000	29.64460849761963	26.941299438476562	25.987625122070312	2892.2557830810547	9.5367431640625
62000	10000	23.388266563415527	22.172927856445312	13.589859008789062	1605.987548828125	9.059906005859375
63000	10000	24.277091026306152	14.543533325195312	13.3514404296875	3739.3569946289062	7.3909759521484375
64000	10000	21.953201293945312	14.543533325195312	13.828277587890625	3590.106964111328	8.106231689453125
65000	10000	28.56576442718506	26.226043701171875	25.74920654296875	2798.5572814941406	8.106231689453125
66000	10000	30.405497550964355	27.179718017578125	25.272369384765625	6237.506866455078	9.059906005859375
67000	10000	29.932475090026855	28.133392333984375	28.6102294921875	1924.0379333496094	8.106231689453125
68000	10000	25.42586326599121	26.226043701171875	27.894973754882812	2193.2125091552734	7.3909759521484375
69000	10000	28.6104679107666	27.179718017578125	27.894973754882812	1410.7227325439453	7.152557373046875
70000	10000	18.423819541931152	14.543533325195312	13.828277587890625	1719.2363739013672	8.821487426757812
71000	10000	25.722742080688477	25.033950805664062	27.65655517578125	3098.4878540039062	8.106231689453125
72000	10000	28.945589065551758	27.894973754882812	28.133392333984375	3507.375717163086	8.106231689453125
73000	10000	27.04005241394043	27.179718017578125	27.65655517578125	6319.761276245117	11.444091796875
74000	10000	29.15818691253662	27.418136596679688	27.894973754882812	6226.778030395508	8.821487426757812
