speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	16	8835.378533234607	 8826.99229772831	-1	8867.157400984375	8656.695024025283	31.778867749768324	0.0	622.3140524285801	24.94622320970812
11000	16	9676.961906307351	 9697.812716763006	9696.411501228145	9755.436047462432	6641.811559778305	78.47414115508036	0.0	67299.95979211312	259.4223579264384
12000	16	10560.136715590805	 10563.334487643633	-1	10630.686151043523	7782.880967222858	70.54943545271817	0.0	14502.092412052602	120.424633742655
13000	16	11372.13111697991	 11427.404950937613	11426.67529371701	11520.093384546059	8587.186692258478	147.9622675661485	0.0	74275.62772329919	272.535553136282
14000	16	12327.942719381634	 12318.214738849765	12308.18936701896	12397.43475349267	12053.138880158052	69.49203411103554	0.0	1648.2175690001268	40.59824588575382
14400	16	12555.17325267943	 12618.005828711102	12615.63380016919	12710.012121212121	7964.498457156421	154.83886853269178	0.0	239162.31544530022	489.0422430069822
15000	16	13100.614070825968	 13178.303640246448	13178.303640246448	13284.937939225973	8766.956987491427	184.32386840000436	0.0	128486.08881293154	358.44956243930824
16000	16	13939.161910083636	 14045.020588620013	14045.388028463793	14168.824047926948	10959.233118314689	229.66213784331194	0.0	134429.5185804813	366.6463126508724
17000	16	14956.347246692729	 14944.630664736665	14944.630664736665	15061.18251697245	14789.0174646025	104.83527027972195	0.0	2168.238336321471	46.56434619235484
18000	16	15677.282564478099	 15755.566016140865	-1	15925.689300228412	11494.196112015072	248.4067357503136	0.0	169353.30397569	411.5255811923361
19000	16	16613.50999250602	 16674.04534443133	16671.456448157005	16823.48057157182	8906.876899595196	209.97057906580085	0.0	447631.2166483632	669.0524767522822
19200	16	16842.965087848563	 16840.89563662599	16848.823499874467	16993.35017250657	16275.226968199593	150.38508465800624	0.0	4155.5202608856425	64.46332492887443
20000	16	17566.818478391502	 17517.894475805137	17507.040761755692	17699.819068970064	17247.2022616294	133.00059057856197	0.0	7798.523692709014	88.30925032355904
21000	16	18406.81932780178	 18378.437354511843	18350.796828001094	18557.584237815416	18035.169040580487	150.76491001363684	0.0	7758.424387000078	88.08191861557103
22000	16	18923.82611214391	 19208.605240588033	-1	19449.730536535884	7767.791535846054	525.9044243919743	0.0	1756489.5461617075	1325.326203680327
23000	16	20071.74570432957	 20111.29095336205	20118.073596642433	20328.31927300265	11779.426289575882	256.57356867308044	0.0	157358.265499787	396.68408778244054
24000	16	20541.921030108784	 20946.15551480629	-1	21226.066975052385	10243.868648514568	684.1459449436006	0.0	1969767.4587985196	1403.4840429440299
25000	16	21853.98297144017	 21847.111255798813	21840.00130176552	22098.9096896353	15512.465312490971	244.92671819512907	0.0	86282.05677572392	293.7380751208871
26000	16	22112.64150477823	 22670.956125163633	-1	22970.6876604484	10106.566367350013	858.0461556701703	0.0	3382249.1325173355	1839.0892127673783
27000	16	22939.381670940198	 23514.997678594893	23521.179058050384	23852.44855162609	9464.950319100173	913.0668806858921	0.0	3530265.767388858	1878.9001483284997
28000	16	24287.257165079693	 24326.92518917939	24321.41487723113	24713.2623826183	13102.721530726802	426.0052175386081	0.0	369546.33281426935	607.9032265206934
28800	16	25099.94082684364	 25086.253539554225	25076.87944322481	25417.617271091753	24646.32566680439	317.6764442481144	0.0	11355.94075818537	106.56425647554329
29000	16	24528.279563780154	 25201.657606909826	25207.57404451122	25599.41407591074	11068.81867101004	1071.1345121305858	0.0	4311306.63258836	2076.3686167413434
30000	16	25814.722264180316	 26088.289615627582	26078.151843396317	26505.59921007159	11144.180840685003	690.876945891272	0.0	1879362.0831018821	1370.8982759861806
31000	16	26822.03901799515	 26879.833375056325	26869.071217656772	27303.61145298276	16968.64350959259	481.5724349876109	0.0	432341.9749430883	657.5271666958623
32000	16	27699.574533734503	 27699.458879372614	27700.888086270057	28146.739645590857	26601.472202953126	447.1651118563532	0.0	20040.919679805396	141.56595522866857
33000	16	27776.51578203504	 28460.078032230704	-1	28951.19240724763	10665.320672255553	1174.676625212589	0.0	5494272.462223841	2343.986446680919
34000	16	29018.06438489791	 29470.874018773673	29482.202745744096	30033.056164690086	12116.520616579024	1014.9917797921771	0.0	4451329.810135386	2109.8174826594327
35000	16	30258.32399071979	 30371.15528653052	30383.186870401812	30847.558722132842	15006.454382826476	589.2347314130529	0.0	1036173.073811632	1017.9258685246348
36000	16	30236.518096898526	 31172.646970677826	31150.03841021178	31754.35689359437	8887.561242902313	1517.8387966958435	0.0	11134198.40706603	3336.794630639715
37000	16	31482.326198763632	 32061.565362794863	32084.55817844977	32622.64762714954	10828.158205764305	1140.3214283859088	0.0	5799654.310458706	2408.2471448044334
38000	16	32003.865101164505	 32838.14985626032	32836.14140672783	33454.06979062811	13377.959981062022	1450.2046894636078	0.0	7945130.793324261	2818.7108388985666
38400	16	33095.459847861304	 33312.913378009434	33329.4581574373	33895.50552433866	13576.202098874699	800.0456764773553	0.0	2303209.6767117195	1517.6329189602206
39000	16	32390.158694263126	 33416.588572139925	33416.588572139925	34108.69834815756	10369.708380816255	1718.5396538944333	0.0	10295548.563471958	3208.667724067414
40000	16	33847.22889364036	 34467.82948125321	-1	35227.750131233595	10642.698225790466	1380.5212375932388	0.0	8334968.919632912	2887.0346239061478
41000	16	34278.15199316505	 35264.77351550184	35269.406911049795	36063.06925505475	11427.404950937613	1784.9172618896991	0.0	11084259.893569393	3329.303214423311
42000	16	35833.87716930532	 35817.6604176396	-1	36599.01233894608	32404.08691453404	765.1351696407582	0.0	84994.54440380678	291.5382383218482
43000	16	35984.492010137204	 37005.163496002206	-1	37839.78798985058	12687.484627200756	1855.2959797133735	0.0	12552234.864794726	3542.913330127443
44000	16	37792.79223164489	 37885.18185025757	37938.72602642923	38632.1444916169	33495.81432493137	839.352259972009	0.0	186484.9032704473	431.83897840566374
45000	16	38821.534720168	 38853.011434360975	38872.70378683658	39636.0953857512	31857.993828625684	814.5606655832016	0.0	135662.32521306333	368.32366909155235
46000	16	39371.06659241304	 39409.1545180944	39472.8999338284	40296.54822487428	36464.7770155539	925.4816324612402	0.0	76899.44761777871	277.3074965048344
47000	16	38984.1646243881	 40193.97409597963	40163.90454103389	41329.55442648191	10764.113240837276	2345.389802093814	0.0	16758725.974706851	4093.7422946134325
48000	16	40598.57243734877	 41060.87281070746	-1	42236.71717410117	16591.597502935903	1638.1447367524015	0.0	7009520.6680600485	2647.549936839728
49000	16	41708.275117333644	 41740.85772041673	41698.711611650484	42874.21434275675	17599.439829536142	1165.939225423106	0.0	1249198.297156433	1117.6753988329676
50000	16	40900.142103319995	 42685.02586749673	-1	44005.81245901639	7553.476729135011	3105.6703556963985	0.0	31006495.099441193	5568.347609429677
51000	16	43076.0177045949	 43580.72181183538	-1	44776.55646371977	15158.565434678261	1700.5387591248655	0.0	7740407.539159499	2782.1587911475326
52000	16	41788.634847008194	 44063.60078791858	44070.83500246265	45582.51927322126	10006.354015618885	3793.884426213066	0.0	36319161.381861806	6026.5380926251355
53000	16	45059.97500142296	 45041.39543980031	-1	46397.97009765794	43337.9812721989	1337.995096234983	0.0	124473.17104902245	352.8075552606866
54000	16	44265.61289700233	 45894.24790562489	46154.65199449794	47359.81933662668	12943.198052026326	3094.2064396243513	0.0	31438141.89585679	5606.97261415256
55000	16	46749.02142486896	 46859.64144191324	-1	48314.51691864651	40873.30886943281	1565.4954937775474	0.0	552797.9420866058	743.5038278896793
56000	16	46227.68663945969	 47556.994596509874	-1	49132.507733138096	10173.597468306456	2904.821093678409	0.0	25718126.384332612	5071.304209405369
57000	16	48557.93276979121	 48568.02171159761	48563.62840343736	49955.4212338327	46826.9439162669	1397.4884640414894	0.0	107790.50413190758	328.3146419700279
57600	16	48763.83664113128	 48766.546643655194	-1	50344.23405851463	45886.402735042735	1580.3974173833485	0.0	135698.75821988564	368.37312363945017
58000	16	48257.46781419717	 49276.81615419917	49240.65963496285	50907.53954105822	12158.504212338074	2650.0717268610533	0.0	17677967.554573387	4204.517517453505
59000	16	49857.958303550375	 49948.44984525785	49955.4212338327	51542.90629800307	30379.748302399275	1684.9479944526975	0.0	1051037.863101182	1025.201376852949
60000	16	49923.891624676166	 50643.421564003394	50662.537699348875	52321.500048728194	13367.966733896068	2397.6084240520286	0.0	12519605.200159611	3538.305413635122
61000	16	50657.500183030344	 51791.52151263747	51936.82035406791	53617.38859482673	11333.56369009922	2959.8884117963826	0.0	21304854.941549104	4615.718247634825
62000	16	52557.98358705513	 52572.55307481394	52582.8513222331	54158.268132754965	50472.02331484441	1600.284545699833	0.0	164579.38180693943	405.6838446462213
63000	16	50287.24437279008	 53071.46223803875	53071.46223803875	55239.315979010185	11088.937560673345	4952.071606220103	0.0	59803176.10995668	7733.2513285135565
64000	16	50470.58011766913	 53687.0912	53751.59311173408	55964.86104451162	11444.70074610957	5494.28092684249	0.0	62198533.16167941	7886.604666247663
65000	16	55022.33357922866	 55137.19954811544	55137.19954811544	57010.822130190085	49682.66814732556	1988.488550961425	0.0	623497.8933760753	789.6188279012066
66000	16	55966.69891340893	 55973.61345555314	55994.0458906967	57759.10833781603	53681.72302769723	1792.409424407102	0.0	214316.47049357736	462.943269195673
67000	16	56776.29160605517	 56823.76291278577	56799.7156157427	58732.185975276225	26952.704051408204	1955.8943692210523	0.0	1296688.598119336	1138.722353394073
68000	16	53478.74895455055	 56871.918644067795	56914.12191243507	59394.94545856843	9244.918583826973	5916.196504017877	0.0	84624130.96172892	9199.137511839299
69000	16	56321.586900091716	 58115.49166486252	-1	60492.497126760565	10313.333948055939	4170.91022666885	0.0	49370098.924230374	7026.385907721719
70000	16	57433.510974083125	 58957.93015594114	-1	61021.92680154581	15369.028741555021	3588.4158274626825	0.0	36357876.17548139	6029.749263069019
71000	16	59854.394552773825	 59878.531340620124	59898.5732455651	61858.61412605139	57517.77501607028	2004.2195732775654	0.0	163981.32256181337	404.9460736466195
72000	16	58771.2316776094	 60574.40054157734	60883.52370151962	62998.229523586015	9678.058010203162	4226.9978459766135	0.0	53760022.97458336	7332.1226786370235
73000	16	58343.75707283378	 61297.130073602435	61815.879332181925	63829.617405778146	10646.497154302258	5485.860332944365	0.0	88591517.67677304	9412.306713913069
74000	16	61275.964471171574	 62347.10393682499	62325.39029486882	64753.457001567964	16614.70343205521	3477.49253039639	0.0	25946872.679831542	5093.8072872686835
75000	16	62620.20272696928	 62931.7679052866	62850.727230156874	65536.0	16006.884675014908	2915.797273030723	0.0	13092748.513408942	3618.390320765429
76000	16	62043.16347145467	 63822.02948169282	-1	66567.99900805952	14042.081761828787	4524.835536604849	0.0	50066782.59877306	7075.78847894516
77000	16	61260.22321978647	 64035.17557251908	-1	67016.71601547871	10670.620157812096	5756.49279569224	0.0	85148901.08468755	9227.616218974841
