speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	2	2002.2796218509634	 1341.1107577112443	-1	251553.95579208815	-1802897.4941798404	249551.6761702372	0.0	3474150555.3973556	58941.925277321534
10000	4	28716.35277518183	 2558.805386976853	-1	15291605.903286599	-2026760.5783531712	15262889.550511416	0.0	278082873589.36786	527335.6365630601
10000	8	26280.94851533784	 5776.630094464655	-1	17014120.61545104	-2551115.3173821783	16987839.666935705	0.0	300096033766.93225	547810.2169245589
10000	16	30421.820256757102	 10181.170619763929	-1	2621731.667648044	199.4648288843864	2591309.847391287	0.0	15054327895.244602	122696.07938008697
10000	32	94121.46059777126	 18988.895055265253	-1	54291859.07663023	-9483443.049766261	54197737.61603246	0.0	3074234134324.9336	1753349.404518373
10000	64	125311.91477472601	 36844.90574645469	-1	51403225.33698925	-28173776.07199391	51277913.42221452	0.0	4439462448769.799	2107003.191447464
10000	128	-280993.8110977213	 73927.18549658559	-1	12829329.747458138	-465690977.474843	13110323.558555858	0.0	217201203708123.25	14737747.579196872
10000	256	352611.2727693963	 196331.17804093455	-1	7183557.67032779	506.5292174256696	6830946.397558394	0.0	349748009615.983	591394.9692176819
10000	512	553678.7981169679	 314026.88178623235	-1	10993165.889615847	352.70076843521895	10439487.09149888	0.0	720772503482.7524	848983.2174329199
10000	1024	-1504277.960156817	 -2131071.363852712	-2130014.4959922214	53289318.411648214	-54606634.15519284	54793596.37180503	0.976	18866291057068.56	4343534.39690174
