speed_hz[hz]	send_bytes[byte]	average_2Delay[ms]	median_2Delay[ms]	mode_2Delay[ms]	max_2Delay[ms]	min_2Delay[ms]	fluctuation[ms]	error_rate	variance[ms^2]	standard deviation[ms]
10000	10000	2.094049835205078	 2.081632614135742	2.079486846923828	4.230737686157227	2.040386199951172	2.1366878509521485	0.0	0.004646165390422539	0.0681627859643555
11000	10000	1.819951558113098	 1.8160343170166016	1.8143653869628906	2.785921096801758	1.7986297607421875	0.9659695386886598	0.0	0.0005372893334646278	0.023179502442128214
12000	10000	1.6816493272781372	 1.6777515411376953	1.6777515411376953	3.4499168395996094	1.6574859619140625	1.7682675123214722	0.0	0.0015883705741401855	0.03985436706485483
13000	10000	1.563095498085022	 1.5566349029541016	1.5559196472167969	3.4575462341308594	1.5418529510498047	1.8944507360458374	0.0	0.001276424220276908	0.0357270796494327
14000	10000	1.4577847957611083	 1.4531612396240234	1.4531612396240234	3.4639835357666016	1.4383792877197266	2.0061987400054933	0.0	0.001733391813174876	0.04163402230357855
14400	10000	1.5297361373901368	 1.516580581665039	1.5130043029785156	4.136800765991211	1.4925003051757812	2.607064628601074	0.0	0.005699107633372478	0.07549243427902215
15000	10000	1.3696963787078857	 1.3663768768310547	1.3659000396728516	3.0791759490966797	1.3442039489746094	1.709479570388794	0.0	0.0014344719415362306	0.03787442331622002
16000	10000	1.29222674369812	 1.2886524200439453	1.2884140014648438	2.8145313262939453	1.2729167938232422	1.5223045825958252	0.0	0.0008158737689859663	0.028563504144029077
17000	10000	1.226018762588501	 1.2211799621582031	1.2209415435791016	9.250640869140625	1.2025833129882812	8.024622106552124	0.0	0.007733749165415706	0.08794173733453135
18000	10000	1.1626500129699706	 1.1591911315917969	1.1594295501708984	2.500772476196289	1.1413097381591797	1.3381224632263184	0.0	0.0005021159007719691	0.022407942805442206
19000	10000	1.11042001247406	 1.108407974243164	1.108407974243164	2.4063587188720703	1.085042953491211	1.2959387063980103	0.0	0.0004984969957143902	0.02232704628280217
19200	10000	1.2086563587188721	 1.1968612670898438	1.1949539184570312	3.2548904418945312	1.1706352233886719	2.0462340831756594	0.0	0.00320516443407314	0.056614171671703725
20000	10000	1.0643649578094483	 1.0612010955810547	1.0612010955810547	2.8727054595947266	1.043558120727539	1.8083405017852783	0.0	0.0014979127963647442	0.03870287839896077
21000	10000	1.019853115081787	 1.0166168212890625	1.018524169921875	2.6192665100097656	0.9951591491699219	1.5994133949279785	0.0	0.0012886425977285398	0.0358976684163267
22000	10000	0.980187201499939	 0.9760856628417969	0.9756088256835938	2.8803348541259766	0.9613037109375	1.9001476526260377	0.0	0.0020479697383501616	0.04525449964755065
23000	10000	0.9414317369461059	 0.9381771087646484	0.9379386901855469	3.158092498779297	0.9260177612304688	2.216660761833191	0.0	0.0011666074004318713	0.034155634973337436
24000	10000	0.9077897310256958	 0.904083251953125	0.9028911590576172	2.6907920837402344	0.8869171142578125	1.7830023527145387	0.0	0.0011524554949340884	0.033947834907900806
25000	10000	0.8758872747421265	 0.8718967437744141	0.8716583251953125	2.1440982818603516	0.8592605590820312	1.268211007118225	0.0	0.00054575168597637	0.023361328857245473
26000	10000	0.8509669065475464	 0.8475780487060547	0.8463859558105469	3.0059814453125	0.8318424224853516	2.1550145387649535	0.0	0.0011083999849455487	0.033292641603596865
27000	10000	0.8255083322525024	 0.8208751678466797	0.8206367492675781	3.0295848846435547	0.804901123046875	2.204076552391052	0.0	0.001342126989674739	0.03663505138081205
28000	10000	0.7968361377716064	 0.7951259613037109	0.7948875427246094	1.93023681640625	0.7772445678710938	1.1334006786346436	0.0	0.0003107484230326918	0.01762805783495992
28800	10000	0.8906995773315429	 0.8776187896728516	0.873565673828125	4.842281341552734	0.8478164672851562	3.9515817642211912	0.0	0.004485783922573317	0.06697599512193393
29000	10000	0.7783701658248902	 0.7750988006591797	-1	2.866029739379883	0.7569789886474609	2.0876595735549928	0.0	0.001363165285669652	0.0369210683170145
30000	10000	0.7646365880966186	 0.7581710815429688	0.7581710815429688	8.48388671875	0.7395744323730469	7.719250130653381	0.0	0.007242016698973542	0.08510003935941242
31000	10000	0.7384585618972779	 0.736236572265625	0.7333755493164062	2.4852752685546875	0.7190704345703125	1.7468167066574096	0.0	0.0005362942426876318	0.023158027607886468
32000	10000	0.7204275131225586	 0.7174015045166016	-1	2.2323131561279297	0.7011890411376953	1.511885643005371	0.0	0.0006117412076491746	0.024733402670258992
33000	10000	0.702215027809143	 0.6992816925048828	0.6985664367675781	1.6181468963623047	0.6849765777587891	0.9159318685531617	0.0	0.0003627612107442247	0.01904629125956612
34000	10000	0.6809828281402588	 0.6780624389648438	0.6778240203857422	2.895355224609375	0.6651878356933594	2.214372396469116	0.0	0.0008923415179538097	0.029872085932418743
35000	10000	0.6671756744384766	 0.6635189056396484	0.6639957427978516	2.446413040161133	0.6487369537353516	1.7792373657226563	0.0	0.0006787615931352775	0.026053053432088868
36000	10000	0.6565559864044189	 0.6535053253173828	0.6532669067382812	1.09100341796875	0.6361007690429688	0.4344474315643311	0.0	0.00030863824001926333	0.017568102914636608
37000	10000	0.6409264326095581	 0.6363391876220703	0.6358623504638672	0.9691715240478516	0.6213188171386719	0.3282450914382935	0.0	0.00043588405309890276	0.02087783640847161
38000	10000	0.624113130569458	 0.6220340728759766	0.6225109100341797	0.9086132049560547	0.6089210510253906	0.28450007438659664	0.0	0.00023624500681535205	0.015370263719772412
38400	10000	0.7224055767059326	 0.7154941558837891	-1	6.7291259765625	0.6940364837646484	6.006720399856567	0.0	0.005926568273368959	0.0769842079479224
39000	10000	0.6080662488937378	 0.6055831909179688	0.6041526794433594	2.789020538330078	0.5924701690673828	2.1809542894363405	0.0	0.0006725563323419695	0.025933691066679452
40000	10000	0.604143214225769	 0.6000995635986328	0.598907470703125	8.504629135131836	0.5881786346435547	7.900485920906067	0.0	0.007691426499372372	0.08770077821417763
41000	10000	0.5866528749465942	 0.583648681640625	0.5805492401123047	2.8145313262939453	0.5724430084228516	2.227878451347351	0.0	0.0010347908698662422	0.03216816547250157
42000	10000	0.583249831199646	 0.5784034729003906	0.5776882171630859	8.852005004882812	0.5669593811035156	8.268755173683166	0.0	0.009720787562945934	0.09859405439957288
43000	10000	0.5714575052261353	 0.5686283111572266	-1	0.8165836334228516	0.5559921264648438	0.2451261281967163	0.0	0.00020827009608126446	0.014431565960811892
44000	10000	0.5521697998046875	 0.5497932434082031	0.5488395690917969	2.427339553833008	0.5407333374023438	1.8751697540283203	0.0	0.0006144820517874905	0.024788748491755094
45000	10000	0.5422209024429321	 0.5385875701904297	0.5373954772949219	2.758026123046875	0.5292892456054688	2.2158052206039427	0.0	0.0012941379302168334	0.03597412862345429
46000	10000	0.5397170782089233	 0.5347728729248047	0.5347728729248047	2.576112747192383	0.5228519439697266	2.0363956689834595	0.0	0.002386555285838199	0.048852382601447385
47000	10000	0.5329315662384033	 0.5285739898681641	0.5273818969726562	2.6662349700927734	0.5176067352294922	2.13330340385437	0.0	0.0013306823615835128	0.036478519180245146
48000	10000	0.5234553337097168	 0.5207061767578125	0.5209445953369141	8.75711441040039	0.5083084106445312	8.233659076690675	0.0	0.007329605765071395	0.08561311678166725
49000	10000	0.5175572156906127	 0.5140304565429688	0.5121231079101562	2.208709716796875	0.5047321319580078	1.6911525011062623	0.0	0.0011738948933674462	0.03426214957307037
50000	10000	0.5061675786972046	 0.5035400390625	0.5033016204833984	0.8797645568847656	0.4909038543701172	0.373596978187561	0.0	0.0002323579264788123	0.015243291195762558
51000	10000	0.4987802028656006	 0.49591064453125	0.4940032958984375	2.425670623779297	0.4856586456298828	1.9268904209136963	0.0	0.0005552148149013192	0.02356299673007063
52000	10000	0.490957236289978	 0.48851966857910156	0.4894733428955078	0.6885528564453125	0.47898292541503906	0.1975956201553345	0.0	0.0001959973683818816	0.013999906013323148
53000	10000	0.4872982740402222	 0.48542022705078125	0.48542022705078125	2.2475719451904297	0.4744529724121094	1.7602736711502076	0.0	0.0007440865940446883	0.02727795069364061
54000	10000	0.47705769538879395	 0.4734992980957031	0.4703998565673828	2.465486526489258	0.46324729919433594	1.9884288311004639	0.0	0.0006661755705295036	0.025810377186889454
55000	10000	0.47090907096862794	 0.46896934509277344	0.46825408935546875	2.50244140625	0.45752525329589844	2.031532335281372	0.0	0.0005600572966591244	0.023665529714314962
56000	10000	0.4681346893310547	 0.46515464782714844	0.4634857177734375	2.5129318237304688	0.45561790466308594	2.0447971343994142	0.0	0.000844490136805689	0.02906011247063041
57000	10000	0.46229431629180906	 0.4596710205078125	0.4596710205078125	2.279043197631836	0.44727325439453125	1.8167488813400268	0.0	0.0013631368626414533	0.03692068339889517
57600	10000	0.566124963760376	 0.5545616149902344	0.5521774291992188	3.2660961151123047	0.5314350128173828	2.699971151351929	0.0	0.004979871403063502	0.07056820390985945
58000	10000	0.4556521654129028	 0.45228004455566406	0.4513263702392578	2.6178359985351562	0.4432201385498047	2.1621838331222536	0.0	0.0007111176643269345	0.026666789539180277
59000	10000	0.4501936674118042	 0.4482269287109375	0.4489421844482422	1.8138885498046875	0.4374980926513672	1.3636948823928834	0.0	0.0005050026202974323	0.02247226335502128
60000	10000	0.4419508934020996	 0.43892860412597656	0.4353523254394531	2.1355152130126953	0.4284381866455078	1.6935643196105956	0.0	0.0005896775680321298	0.024283277538918215
61000	10000	0.445513916015625	 0.4420280456542969	0.4425048828125	2.9401779174804688	0.431060791015625	2.4946640014648436	0.0	0.00261590971646001	0.05114596481111692
62000	10000	0.43312926292419435	 0.43129920959472656	0.431060791015625	2.3734569549560547	0.41961669921875	1.9403276920318604	0.0	0.0005138723448885685	0.022668752609893834
63000	10000	0.43253293037414553	 0.4305839538574219	0.4305839538574219	0.6270408630371094	0.4189014434814453	0.19450793266296384	0.0	0.00017850521287755329	0.013360584301502434
64000	10000	0.426875901222229	 0.42319297790527344	0.4220008850097656	2.5713443756103516	0.40912628173828125	2.1444684743881224	0.0	0.0016185163316725945	0.04023078835509683
65000	10000	0.4278249740600586	 0.4239082336425781	0.4222393035888672	2.4442672729492188	0.41174888610839844	2.01644229888916	0.0	0.0015645049879822182	0.039553823936279764
66000	10000	0.418464732170105	 0.4169940948486328	0.41747093200683594	0.6222724914550781	0.4048347473144531	0.20380775928497313	0.0	0.0001790153859877819	0.01337966314926433
67000	10000	0.41464645862579347	 0.41294097900390625	0.4131793975830078	2.3784637451171875	0.4019737243652344	1.963817286491394	0.0	0.000538074971195215	0.02319644307205773
68000	10000	0.4072882175445557	 0.4038810729980469	0.4019737243652344	2.6140213012695312	0.38623809814453125	2.2067330837249757	0.0	0.001639223657527964	0.04048732712254495
69000	10000	0.4096899271011353	 0.4069805145263672	0.4074573516845703	1.7631053924560547	0.3943443298339844	1.3534154653549195	0.0	0.0004956262348053997	0.022262664593561115
70000	10000	0.4034451723098755	 0.400543212890625	0.3998279571533203	2.6671886444091797	0.3886222839355469	2.2637434720993044	0.0	0.001716604982624972	0.04143193192001759
71000	10000	0.3956251621246338	 0.39327144622802734	0.3921985626220703	2.016782760620117	0.3821849822998047	1.6211575984954834	0.0	0.0006626591622966771	0.025742167008561596
72000	10000	0.39816784858703613	 0.3962516784667969	0.39696693420410156	2.4232864379882812	0.37980079650878906	2.025118589401245	0.0	0.0006519560674291824	0.025533430388985777
73000	10000	0.3897857666015625	 0.38695335388183594	-1	0.6926059722900391	0.37550926208496094	0.30282020568847656	0.0	0.0002450763076922158	0.0156549132125418
74000	10000	0.38369951248168943	 0.38170814514160156	0.38242340087890625	0.6222724914550781	0.3674030303955078	0.2385729789733887	0.0	0.00019979546631475388	0.014134902416173727
75000	10000	0.38857991695404054	 0.38433074951171875	0.38313865661621094	12.063741683959961	0.3712177276611328	11.675161767005921	0.0	0.01471307301259856	0.12129745674414844
76000	10000	0.38175349235534667	 0.37789344787597656	0.3771781921386719	3.126859664916992	0.370025634765625	2.7451061725616457	0.0	0.001970085362697773	0.04438564365532816
77000	10000	0.38083620071411134	 0.3781318664550781	0.3783702850341797	1.5282630920410156	0.3662109375	1.1474268913269043	0.0	0.000529695767463636	0.023015120409496798
78000	10000	0.376355504989624	 0.37384033203125	0.37288665771484375	0.6520748138427734	0.36454200744628906	0.27571930885314944	0.0	0.00020586807975405463	0.014348103698888387
79000	10000	0.3731370449066162	 0.3705024719238281	0.370025634765625	2.0987987518310547	0.3581047058105469	1.7256617069244384	0.0	0.0005435320690571643	0.02331377423449846
