speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	2	7579.479207903741	 7603.542261500113	7619.94595208357	7669.584457142857	4370.774000260519	90.10524923911635	0.0	25191.615210546788	158.71866686230322
11000	2	8185.5888511354215	 8099.066377021482	8091.254400771642	8600.392669486095	7558.155648158577	414.8038183506733	0.0	38931.66871362703	197.31109627597488
12000	2	8890.88897783237	 8764.380828000523	-1	9333.638942976357	4712.701123595506	442.7499651439866	0.0	89382.79531043705	298.96955582540016
13000	2	10009.069233699394	 10019.239175873396	10017.743543812509	10143.419588875453	9146.635409567943	134.35035517605866	0.0	7533.939131550615	86.79826686950963
14000	2	10650.446221598491	 10775.347463070006	10822.264796000645	10928.002605438855	8736.995703684415	277.5563838403632	0.0	92773.58673941004	304.587568261428
14400	2	10795.286059190206	 10859.039482200647	10880.166018158236	11008.671916010499	6628.035950617284	213.38585682029225	0.0	81046.57759217083	284.68680614347204
15000	2	10836.5334295681	 10684.423499442764	10669.135771065183	11628.636977993416	9241.09942164693	792.1035484253152	0.0	161014.78638744276	401.26647802606533
16000	2	11723.832087002602	 11407.25208227095	11351.296346414074	12386.27980804725	9942.053925925926	662.4477210446476	0.0	219049.1204137271	468.02683727936704
17000	2	12630.450437838535	 12905.55076923077	12927.92602581391	13117.448006254886	5989.18911200357	486.997568416351	0.0	300871.5201255249	548.5175659224825
18000	2	13649.017400570858	 13715.279787451462	-1	13876.936311000827	3847.5440889806214	227.9189104299694	0.0	158348.137321949	397.92981456778153
19000	2	14408.62201157638	 14438.223752151463	14435.11808991181	14720.084228997588	12821.716469239587	311.46221742120724	0.0	44501.708042679646	210.9542795078584
19200	2	14080.739105891837	 14272.408336877925	-1	14532.01905586834	6417.601989098212	451.2799499765042	0.0	497645.8541368486	705.4401846626322
20000	2	15150.848616979674	 15165.844971751412	-1	15374.310194730813	13181.862895305441	223.46157775113898	0.0	22319.77090030946	149.39802843514857
21000	2	15889.216693530312	 15913.887597818355	15879.996213913866	16241.254598257503	10555.02736709657	352.03790472719083	0.0	68939.15558558452	262.5626698249097
22000	2	16610.478557927152	 16639.936523679644	16677.153081510933	16968.107206068267	14528.87291621563	357.62864814111526	0.0	56446.11370835077	237.58390877403875
23000	2	17342.30093793323	 17421.82346832814	17376.712584153287	17678.836670179135	13341.722465208748	336.5357322459058	0.0	142622.91853634143	377.65449624801425
24000	2	17996.808025635837	 18025.48052645716	18035.169040580487	18241.06115792335	7206.707903780069	244.2531322875111	0.0	139848.8923386131	373.9637580549927
25000	2	18809.244304517964	 18898.581807941424	18968.022611644996	19157.540393948046	16035.570848267622	348.29608943008134	0.0	173171.35237182837	416.13862158159316
26000	2	19539.33828235707	 19576.681446907816	19565.266472303207	19990.725052129877	16870.001005530416	451.3867697728092	0.0	80210.24771905088	283.2141375691738
27000	2	20010.84333583055	 20177.048707155744	20219.603495028623	20598.178023327193	14745.960008789278	587.3346874966446	0.0	423492.2575096638	650.7628273877234
28000	2	20903.0525567144	 21004.339280125194	-1	21536.862644415916	6242.685023255814	633.8100877015167	0.0	488649.2590999746	699.0345192477798
28800	2	20283.096883184797	 20693.451742213998	-1	21210.134007585337	9453.284124524582	927.03712440054	0.0	2077750.5459252156	1441.4404413381828
29000	2	21542.271562786464	 21592.298584298584	21578.412861736335	21981.285293154273	17563.16775713164	439.01373036780933	0.0	118081.86862166077	343.63042447033234
30000	2	22334.747422393688	 22399.487316421895	22451.94513215122	22795.130434782608	18221.250067879446	460.3830123889202	0.0	128215.13521852369	358.0714107807599
31000	2	23087.74972724788	 23148.969989651603	-1	23638.205001761184	6526.195079257026	550.4552745133042	0.0	409487.73935568763	639.9122903614898
32000	2	23760.311457450116	 23831.272727272728	23941.79950053514	24350.09579100145	9321.970273649118	589.7843335513353	0.0	362535.8688217877	602.1095156379674
33000	2	24582.69000581538	 24636.14684287812	24627.10605504587	25143.823154739603	20219.603495028623	561.133148924222	0.0	188888.77520547295	434.61336289335713
34000	2	21612.384873914853	 21732.145077720208	21880.94685360287	22221.478145695364	8956.207660483118	609.0932717805117	0.0	451889.1169775846	672.2269832263389
35000	2	22242.907655308158	 22384.544362908604	22347.27405927406	22771.925347811335	3902.585717608746	529.0176925031774	0.0	625050.2483782478	790.6011942681644
36000	2	22399.142611425945	 22500.877078315236	22542.446758481692	22998.239890335848	12404.595933456561	599.0972789099033	0.0	436985.80099849537	661.0490155794012
37000	2	23191.820796753153	 23261.304679376084	-1	23933.261055634808	17881.391953104183	741.4402588816556	0.0	262008.06014762327	511.86722902294036
38000	2	23554.054270976056	 23688.268266854924	23671.5569664903	24262.062183658712	17957.951297832486	708.0079126826568	0.0	396634.46258955455	629.7892207632285
38400	2	26062.64513013821	 26897.340280561122	26886.5641025641	28232.588977702988	6933.450149808865	2169.9438475647767	0.0	6138295.2524768235	2477.5583247376485
39000	2	24170.759775806975	 24288.40535649656	24385.488372093023	24736.035385182455	7091.711296628976	565.2756093754797	0.0	579708.2142898991	761.3857197832772
40000	2	29239.695872417673	 29298.785067827594	29215.87461906835	30283.783393501806	14260.277093072673	1044.0875210841332	0.0	577185.8775378208	759.7275021597026
41000	2	29815.980617936293	 29932.588760035684	-1	30615.357664233576	22787.39015280136	799.3770462972825	0.0	498396.7566528448	705.9722067141488
42000	2	30800.422507319836	 30883.048320294525	30997.16581986143	31714.964083175804	10032.719988040066	914.5415758559684	0.0	726759.9187798884	852.5021517743451
43000	2	31038.058449881486	 31141.004176334107	-1	31895.847908745247	23713.379505300352	857.789458863761	0.0	489188.94073497975	699.4204320256734
44000	2	31665.90381759051	 31759.992427827732	31865.55745489079	32592.940262263233	24510.17677136596	927.0364446727217	0.0	341280.90395317617	584.1925230206016
45000	2	32424.007562195635	 32529.745031507515	32577.11844660194	33354.306163021865	20610.830466830466	930.2986008262305	0.0	728044.6468430388	853.2553233605043
46000	2	33114.09683839767	 33205.771400296886	33238.66468548786	34274.1899897855	7389.2164721427	1160.093151387824	0.0	1003032.5828735773	1001.5151436067141
47000	2	33818.55310745285	 33927.63599595551	34030.86409736308	34898.00520020801	25594.532418001527	1079.452092755164	0.0	690643.3498376012	831.0495471616606
48000	2	34469.7608167467	 34574.3760947965	34592.19793814433	35376.31207169215	29064.03811173668	906.5512549454506	0.0	376624.9328659716	613.6977536751879
49000	2	35549.12568122496	 35620.4161358811	35601.51936339522	36571.588010899184	26940.531513448415	1022.4623296742211	0.0	472454.1078703682	687.3529718204237
50000	2	35282.49284031462	 35601.51936339522	35563.78590355061	36913.56655665566	24717.813627992633	1631.073716341045	0.0	2417607.351865037	1554.8657021958638
51000	2	36522.01132890415	 36671.51038251366	36751.84227820372	37659.295173961844	27481.10728910729	1137.2838450576965	0.0	1007841.0659610231	1003.9128776746632
52000	2	36983.37793295739	 37117.734513274336	37220.66777592901	38065.15258082814	30559.59198542805	1081.7746478707486	0.0	593105.3626308901	770.1333408124142
53000	2	37692.96171297746	 37850.45910885505	37914.61242937853	39244.94970760234	7989.150476190476	1551.9879946248766	0.0	1910708.5417316002	1382.2838137414474
54000	2	38003.86916688331	 38151.71347356452	38151.71347356452	39568.90566037736	25468.259582542694	1565.0364934940444	0.0	1384697.268718605	1176.73160436805
55000	2	38711.56605362728	 38858.635784597565	38836.148148148146	40305.62402402402	29317.983398864133	1594.057970396745	0.0	1034815.8781639124	1017.2590024983374
56000	2	39702.08439651951	 39850.869358669835	39874.547831253716	40995.02993280391	32736.031219512195	1292.945536284402	0.0	614897.9479400619	784.1542883515092
57000	2	39530.80268530773	 40064.99343283582	40064.99343283582	41734.36815920398	8578.405215390516	2203.5654738962476	0.0	5567233.5289176805	2359.4985757397017
