speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	2	8049.3994043603025	 8370.820007484097	8398.055812789387	12520.310447761194	2134.7095460762794	4470.911043400892	1.0	1608415.4314689136	1268.2331928588344
11000	2	7170.649792021414	 6259.571308646581	-1	12510.97390007457	2672.169467229434	5340.324108053156	1.0	4170215.1973835747	2042.1104762924983
12000	2	14524.910620039798	 9088.416034669555	9007.90120805369	32608.777453838677	3380.458593592585	18083.86683379888	1.0	66474894.61801013	8153.213760107737
13000	2	12286.801382876833	 12297.757742349277	12270.77418175169	23899.168091168092	5900.717840499428	11612.36670829126	1.0	3916711.6441305857	1979.06837783099
14000	2	10227.379178298865	 9779.781987758672	9707.632576305512	24818.366863905325	3960.1595656792165	14590.98768560646	0.0	3225205.616351232	1795.885747020459
14400	2	9486.97694987497	 8888.591258278146	-1	24079.24793684966	3436.017817828068	14592.27098697469	0.0	5711455.2185997125	2389.865104686813
15000	2	14659.492644179834	 15764.356119332864	17843.35655410795	31655.124528301887	3993.3867301398395	16995.631884122053	1.0	18464952.741456132	4297.086541071303
16000	2	12072.196604256935	 12455.24573125464	12576.623688155922	31403.30556855405	2176.033203631647	19331.108964297113	0.0	7697011.02659092	2774.3487572024756
17000	2	17684.22418666244	 15755.129918851631	-1	40920.039024390244	5714.797240909478	23235.814837727805	1.0	74756921.5597231	8646.208507763567
18000	2	14857.607481353964	 17145.987241302217	-1	31491.724073205067	3446.42892358258	16634.116591851103	1.0	16869014.443901677	4107.190577986573
19000	2	12929.544787833625	 12427.567407407407	-1	40378.37785800241	4370.489352002605	27448.83307016878	0.0	10325709.242163783	3213.3641627060856
19200	2	16152.531417280134	 17627.755187811927	17848.102127659575	29959.314285714285	4844.006351956114	13806.782868434151	0.0	10032877.406798668	3167.4717689031845
20000	2	11294.116041607887	 9479.992089278147	-1	29839.42374388617	3472.285610803539	18545.30770227828	1.0	27347342.238751907	5229.468638279793
21000	2	12552.328236590656	 10523.579112435315	-1	22273.10454696316	2269.4915116672305	9720.776310372505	1.0	25393989.382642016	5039.244921874905
22000	2	13989.518778659267	 15477.136531365313	-1	25087.425794392522	4651.938444475253	11097.907015733255	1.0	14284699.032795101	3779.510422368895
23000	2	15505.823540726804	 13785.71569433032	13587.540797732334	62777.234798877456	3246.6794388001936	47271.41125815065	1.0	45191273.17741743	6722.445475972076
24000	2	12997.568114032149	 12462.184586815227	-1	41221.66093366093	3528.3314405888536	28224.092819628786	1.0	16642352.167699927	4079.5039119603657
25000	2	11882.683556906437	 11136.55227348158	-1	37490.98547486033	3690.138788078742	25608.301917953897	1.0	14269618.388259742	3777.5148428907255
26000	2	21010.99924817251	 12294.378412216563	-1	138368.79175257732	3966.0105194728444	117357.79250440482	1.0	616034750.3235852	24820.047347327625
27000	2	17058.86060445769	 10573.337106709816	10037.221657194137	47628.718239886446	3894.4326833797586	30569.857635428754	1.0	120702978.44711004	10986.49072484522
28000	2	43743.737885174836	 21290.96039684882	62601.55223880597	165700.8987654321	4482.590608509786	121957.16088025726	0.0	1598718170.3120012	39983.9739184589
28800	2	32118.206696079993	 36964.40049028531	37807.810704225354	77762.2989571263	3170.7471769430663	45644.09226104631	0.0	244131621.95248994	15624.711899823624
29000	2	12134.12542210776	 12069.939568345324	12115.700306914605	29999.4921770228	2880.703296703297	17865.36675491504	1.0	7829016.351047909	2798.0379466776194
30000	2	16131.6226903473	 11647.811248011065	11636.70261834576	74235.46902654867	7827.932345736615	58103.84633620137	1.0	188587175.48202533	13732.704594580971
31000	2	18477.61195123204	 10964.60492571913	10871.353312813866	79796.50891795481	3485.9936626668746	61318.896966722765	1.0	293664135.3818823	17136.631389566686
32000	2	25570.63707589115	 11543.631927342625	10530.18421465558	65154.23689320388	6504.05737546036	39583.59981731273	1.0	366100697.06219566	19133.758048595566
33000	2	31378.045343897345	 29350.208746202217	-1	110558.26029654036	5014.485840245087	79180.21495264301	1.0	428885112.22555196	20709.541574490537
34000	2	32225.52029542031	 39290.90398126464	-1	135027.8953722334	1739.608160302771	102802.3750768131	1.0	246270883.6588193	15693.020221067049
35000	2	31510.700422409907	 35820.052724756286	36216.33243389099	91929.95068493151	2348.84547268209	60419.2502625216	1.0	138829263.03506488	11782.583037478025
36000	2	27866.67925794547	 30372.875056177014	30657.315669255368	63550.06060606061	2134.4379631691104	35683.38134811514	1.0	73586167.00642608	8578.237989612207
37000	2	23881.34787461225	 26183.719943832883	27526.195242001642	74153.4408839779	2274.491238773089	50272.09300936566	0.0	54116681.73110614	7356.404130491074
38000	2	26314.164175302012	 28226.65277312399	28508.438402718777	100462.37125748504	1929.7464918334483	74148.20708218303	0.0	120236581.89751683	10965.244269851759
38400	2	14445.995014169535	 13405.685976827806	13405.685976827806	87495.25945241199	2084.5146300552897	73049.26443824246	0.0	69062013.91980538	8310.3558238986
39000	2	26940.925405812493	 20311.401376367605	37659.295173961844	64714.430086788816	2983.2791286952656	37773.50468097632	1.0	298845723.717662	17287.154876313856
40000	2	29592.904767051423	 28472.152736529486	28268.266217354674	99126.83013293945	2114.064516129032	69533.92536588802	1.0	96909886.40612969	9844.281914194133
41000	2	28869.103441202493	 26204.16399843811	26051.57763975155	78581.80796252927	1967.9441658602386	49712.704521326785	1.0	101484359.62488355	10073.94459111641
42000	2	33483.20425294674	 30366.001809954752	37722.80157391793	536870.912	1754.0215368531103	503387.70774705324	1.0	713026478.7601962	26702.555659715348
43000	2	38655.7924506945	 36148.05756410971	35772.31556503198	366715.1038251366	-1118481.0666666667	328059.3113744421	1.0	5697285226.315168	75480.36318351395
44000	2	18255.571681421876	 17914.806193272823	-1	44918.91834002677	3124.830694729	26663.346658604896	1.0	34263126.739969745	5853.471341005245
45000	2	19294.278474047453	 18088.64258760108	17796.039246884116	61174.89881494986	4349.2458846403115	41880.62034090241	1.0	49627314.52955722	7044.665679048028
46000	2	18163.189326379	 17419.56265552405	-1	56017.41569282137	2225.6853276731226	37854.226366442366	1.0	34040080.62399564	5834.387767709277
