speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
10000	2	2620.475328083747	 1341.5605531647327	-1	268435.456	-1242756.7407407407	265814.9806719163	0.0	1774680778.41338	42126.96023229518
10000	4	18154.90535516692	 2559.1604772720343	-1	26843545.6	-16777216.0	26825390.694644835	0.0	1008082499253.3685	1004033.1166118818
10000	8	-258531.6030295586	 5770.51006385202	-1	468473.7452006981	-268435456.0	727005.3482302567	0.0	71999978186184.16	8485280.088847047
10000	16	30950.660733220233	 10184.410909914495	-1	2855696.340425532	199.4660722114477	2824745.6796923117	0.0	16979521294.837776	130305.49218984507
10000	32	399723.3326214753	 18994.530760781592	-1	357913941.3333333	-8259552.492307693	357514218.00071186	0.0	128062258649032.45	11316459.634047763
10000	64	172376.78548706038	 36855.51470339719	-1	85899345.92	-23091222.02150538	85726969.13451295	0.0	8796961004770.97	2965967.128066488
10000	128	21173.371319964306	 73948.54021763091	-1	13506186.465408806	-165191049.84615386	13485013.094088841	0.0	27729884251301.316	5265917.227919683
10000	256	353543.07711777295	 196406.49195663305	-1	7285779.97625106	506.5297185430561	6932236.899133287	0.0	355120210330.36237	595919.6341205435
10000	512	554686.0116332708	 314123.2129737736	-1	11112463.896507116	352.7008899175187	10557777.884873845	0.0	727789388101.727	853105.7309042808
10000	1024	416151.57060672145	 388353.23107900727	-1	1309541.0613613843	12338.478487397311	893389.4907546629	0.0	45008789428.17814	212152.75022534622
